Nomor,Kategori/Kelompok Pemeriksaan,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Example UCUM Units,Code System,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO)
495,Mikrobiologi Klinik,Linezolid (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,41500-0,Linezolid [Susceptibility] by Method for Slow-growing mycobacteria,Linezolid,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,2.16,2.26,1.0,1.0
496,Mikrobiologi Klinik,Minocycline (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,55156-4,Minocycline [Susceptibility] by Method for Slow-growing mycobacteria,Minocycline,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,2.27,2.27,1.0,1.0
497,Mikrobiologi Klinik,Moxifloxacin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,41502-6,Moxifloxacin [Susceptibility] by Method for Slow-growing mycobacteria,Moxifloxacin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,2.16,2.26,1.0,1.0
498,Mikrobiologi Klinik,Norfloxacin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,41504-2,Norfloxacin [Susceptibility] by Method for Slow-growing mycobacteria,Norfloxacin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,2.16,2.26,1.0,1.0
499,Mikrobiologi Klinik,Ofloxacin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,20384-4,Ofloxacin [Susceptibility] by Method for Slow-growing mycobacteria,Ofloxacin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0m,2.26,1.0,1.0
500,Mikrobiologi Klinik,Para aminosalicylate (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,23611-7,Para aminosalicylate [Susceptibility] by Method for Slow-growing mycobacteria,Para aminosalicylate,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0n,2.73,1.0,1.0
501,Mikrobiologi Klinik,Pyrazinamide (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,20461-0,Pyrazinamide [Susceptibility] by Method for Slow-growing mycobacteria,Pyrazinamide,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0m,2.73,1.0,1.0
502,Mikrobiologi Klinik,Rifabutin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,20386-9,Rifabutin [Susceptibility] by Method for Slow-growing mycobacteria,Rifabutin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0m,2.26,1.0,1.0
503,Mikrobiologi Klinik,rifAMPin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,20385-1,rifAMPin [Susceptibility] by Method for Slow-growing mycobacteria,rifAMPin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0m,2.26,1.0,1.0
504,Mikrobiologi Klinik,Sparfloxacin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,23610-9,Sparfloxacin [Susceptibility] by Method for Slow-growing mycobacteria,Sparfloxacin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0n,2.26,1.0,1.0
505,Mikrobiologi Klinik,Streptomycin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,20462-8,Streptomycin [Susceptibility] by Method for Slow-growing mycobacteria,Streptomycin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0m,2.73,1.0,1.0
506,Mikrobiologi Klinik,sulfiSOXAZOLE 300 ug/mL (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,25226-2,sulfiSOXAZOLE 300 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria,sulfiSOXAZOLE 300.0 ug/mL,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,2.0,2.26,1.0,1.0
507,Mikrobiologi Klinik,Tigecycline (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,55158-0,Tigecycline [Susceptibility] by Method for Slow-growing mycobacteria,Tigecycline,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,2.27,2.27,1.0,1.0
508,Mikrobiologi Klinik,Tobramycin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,25800-4,Tobramycin [Susceptibility] by Method for Slow-growing mycobacteria,Tobramycin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,2.0,2.73,1.0,1.0
509,Mikrobiologi Klinik,Trimethoprim (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,23614-1,Trimethoprim [Susceptibility] by Method for Slow-growing mycobacteria,Trimethoprim,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0n,2.26,1.0,1.0
510,Mikrobiologi Klinik,Trimethoprim+Sulfamethoxazole (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,20387-7,Trimethoprim+Sulfamethoxazole [Susceptibility] by Method for Slow-growing mycobacteria,Trimethoprim+Sulfamethoxazole,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0m,2.73,1.0,1.0
511,Mikrobiologi Klinik,Vancomycin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,23615-8,Vancomycin [Susceptibility] by Method for Slow-growing mycobacteria,Vancomycin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0n,2.26,1.0,1.0
512,Mikrobiologi Klinik,Viomycin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,Method for Slow-growing mycobacteria,23616-6,Viomycin [Susceptibility] by Method for Slow-growing mycobacteria,Viomycin,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria,,http://loinc.org,1.0n,2.26,1.0,1.0
513,Mikrobiologi Klinik,Isoniazid dosis tinggi (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,,X099776,H High Dosage [Susceptibility] by Method for Slow-growing mycobacteria,,,,,,,,http://loinc.org,,,1.0,1.0
514,Mikrobiologi Klinik,H - SLID - capreomycin (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,,X099777,H - SLID - capreomycin [Susceptibility] by Method for Slow-growing mycobacteria,,,,,,,,http://loinc.org,,,1.0,1.0
515,Mikrobiologi Klinik,Moxifloxacin dosis tinggi (Uji resistansi) ,Hasil ,Isolat,Ordinal Kuantitatif ,,,X099778,Moxifloxacin High Dosage [Susceptibility] by Method for Slow-growing mycobacteria,,,,,,,,http://loinc.org,,,1.0,1.0
516,Mikrobiologi Klinik,Delamanid (Uji resistansi),Hasil ,Isolat,Ordinal Kuantitatif ,,,X099779,Delamanid [Susceptibility] by Method for Slow-growing mycobacteria,,,,,,,,http://loinc.org,,,1.0,1.0
517,Mikrobiologi Klinik,Bedaquiline (Uji resistansi),Hasil ,Isolat,Ordinal Kuantitatif ,,,X099780,Bedaquiline [Susceptibility] by Method for Slow-growing mycobacteria,,,,,,,,http://loinc.org,,,1.0,1.0
518,Mikrobiologi Klinik,Pemeriksaan visual sputum,Permintaan,Sputum ,,,,MK099783,Pemeriksaan visual sputum,,,Pt,Sputum ,Nominal,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
519,Mikrobiologi Klinik,Pemeriksaan visual sputum,Hasil ,Sputum ,Nominal ,,,33455-7,Appearance of Sputum,Appearance,Aper,Pt,Sputum,Nom,,,http://loinc.org,2.09,2.73,1.0,1.0
520,Mikrobiologi Klinik,M. tuberculosis deteksi MDRO (OAT) (Real time PCR) ,Permintaan ,Isolat/spesimen,,,Molgen ,94053-6,Mycobacterium tuberculosis complex resistance panel by Molecular genetics method ,Mycobacterium tuberculosis complex resistance panel,-,Pt,Isolate/Specimen,-,Molgen,,http://loinc.org,2.67,2.7,1.0,1.0
521,Mikrobiologi Klinik,M. tuberculosis kompleks DNA ,Permintaan & Hasil,Isolat/spesimen ,Ordinal,,Molgen,88874-3,Mycobacterium tuberculosis complex DNA [Presence] in Isolate or Specimen by Molecular genetics method,Mycobacterium tuberculosis complex DNA,PrThr,Pt,Isolate/Specimen,Ord,Molgen,,http://loinc.org,2.64,2.73,1.0,1.0
522,Mikrobiologi Klinik,M. tuberculosis + N.tuberculosis Mycobacterium (Real time PCR) ,Permintaan & Hasil,Sputum ,Ordinal,,PCR,MK099924,M. tuberculosis + N.tuberculosis Mycobacterium (Real time PCR) ,,,Pt,Sputum ,Ordinal,PCR,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
523,Mikrobiologi Klinik,M. tuberculosis cairan otak (PCR),Permintaan & Hasil,Cairan otak,Ordinal,,PCR,14561-5,Mycobacterium tuberculosis DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,CSF,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
524,Mikrobiologi Klinik,M. tuberculosis urine (PCR),Permintaan & Hasil,Urine,Ordinal,,PCR,14560-7,Mycobacterium tuberculosis DNA [Presence] in Urine by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Urine,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
525,Mikrobiologi Klinik,M. tuberculosis pleura (PCR),Permintaan & Hasil,Cairan pleura,Ordinal,,PCR,14559-9,Mycobacterium tuberculosis DNA [Presence] in Pleural fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Plr fld,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.63,1.0,1.0
526,Mikrobiologi Klinik,M. tuberculosis cairan ascites (PCR),Permintaan & Hasil,Cairan asites,Ordinal,,PCR,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
527,Mikrobiologi Klinik,M. tuberculosis cairan tubuh (PCR),Permintaan & Hasil,Cairan tubuh,Ordinal,,PCR,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
528,Mikrobiologi Klinik,M. tuberculosis darah (PCR),Permintaan & Hasil,Darah,Ordinal,,PCR,16278-4,Mycobacterium tuberculosis DNA [Presence] in Blood by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,,http://loinc.org,1.0l,2.73,1.0,1.0
529,Mikrobiologi Klinik,M. tuberculosis cairan sinovial (PCR),Permintaan & Hasil,Cairan tubuh,Ordinal,,PCR,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
530,Mikrobiologi Klinik,M. tuberculosis pus (PCR),Permintaan & Hasil,Pus,Ordinal,,PCR,13956-8,Mycobacterium tuberculosis DNA [Presence] in Specimen by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
531,Mikrobiologi Klinik,M. tuberculosis FNAB (PCR),Permintaan & Hasil,Biopsi,Ordinal,,PCR,91763-3,Mycobacterium tuberculosis DNA [Presence] in Aspirate by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Asp,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.66,1.0,1.0
532,Mikrobiologi Klinik,M. tuberculosis cairan perikardial (PCR),Permintaan & Hasil,Cairan perikardial,Ordinal,,PCR,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
533,Mikrobiologi Klinik,M. tuberculosis bronkus (PCR),Permintaan & Hasil,Bronkus,Ordinal,,PCR,14557-3,Mycobacterium tuberculosis DNA [Presence] in Bronchial specimen by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Bronchial,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
534,Mikrobiologi Klinik,M. tuberculosis cairan steril lainnya (PCR) ,Permintaan & Hasil,Cairan steril lainnya ,Ordinal,,PCR,MK099884,M. tuberculosis cairan steril lainnya (PCR) ,,,Pt,Cairan steril lainnya ,Ordinal,PCR,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
535,Mikrobiologi Klinik,M. tuberculosis jaringan (PCR) ,Permintaan & Hasil,Jaringan ,Ordinal,,PCR,MK099885,M. tuberculosis jaringan (PCR) ,,,Pt,Jaringan ,Ordinal,PCR,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
536,Mikrobiologi Klinik,M. tuberculosis sputum (PCR) ,Permintaan & Hasil,Sputum ,Ordinal,,PCR,MK099886,M. tuberculosis sputum (PCR) ,,,Pt,Sputum ,Ordinal,PCR,,http://terminology.kemkes.go.id/CodeSystem/examination,,,1.0,1.0
537,Mikrobiologi Klinik,M. tuberculosis bronkus (Real time PCR),Permintaan & Hasil,Bronkus ,Ordinal,,,14557-3,Mycobacterium tuberculosis DNA [Presence] in Bronchial specimen by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Bronchial,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
538,Mikrobiologi Klinik,M. tuberculosis cairan ascites (Real time PCR),Permintaan & Hasil,Cairan ascites ,Ordinal,,,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
539,Mikrobiologi Klinik,M. tuberculosis cairan otak (Real time PCR),Permintaan & Hasil,Cairan otak ,Ordinal,,,14561-5,Mycobacterium tuberculosis DNA [Presence] in Cerebral spinal fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,CSF,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
540,Mikrobiologi Klinik,M. tuberculosis cairan perikardial (Real time PCR),Permintaan & Hasil,Cairan perikardial ,Ordinal,,,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
541,Mikrobiologi Klinik,M. tuberculosis cairan sinovial (Real time PCR),Permintaan & Hasil,Cairan sinovial ,Ordinal,,,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
542,Mikrobiologi Klinik,M. tuberculosis cairan tubuh (Real time PCR),Permintaan & Hasil,Cairan tubuh ,Ordinal,,,58931-7,Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Body fld,Ord,Probe.amp.tar,,http://loinc.org,2.32,2.73,1.0,1.0
543,Mikrobiologi Klinik,M. tuberculosis darah (Real time PCR),Permintaan & Hasil,Darah ,Ordinal,,,16278-4,Mycobacterium tuberculosis DNA [Presence] in Blood by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,,http://loinc.org,1.0l,2.73,1.0,1.0
544,Mikrobiologi Klinik,M. tuberculosis FNAB (Real time PCR),Permintaan & Hasil,FNAB ,Ordinal,,,91763-3,Mycobacterium tuberculosis DNA [Presence] in Aspirate by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Asp,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.66,1.0,1.0
545,Mikrobiologi Klinik,M. tuberculosis pleura (Real time PCR),Permintaan & Hasil,Pleura ,Ordinal,,,14559-9,Mycobacterium tuberculosis DNA [Presence] in Pleural fluid by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Plr fld,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.63,1.0,1.0
546,Mikrobiologi Klinik,M. tuberculosis pus (Real time PCR),Permintaan & Hasil,Pus ,Ordinal,,,13956-8,Mycobacterium tuberculosis DNA [Presence] in Specimen by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
547,Mikrobiologi Klinik,M. tuberculosis sputum (Real time PCR),Permintaan & Hasil,Sputum ,Ordinal,,,14556-5,Mycobacterium tuberculosis DNA [Presence] in Sputum by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Sputum,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
548,Mikrobiologi Klinik,M. tuberculosis urine (Real time PCR),Permintaan & Hasil,Urine ,Ordinal,,,14560-7,Mycobacterium tuberculosis DNA [Presence] in Urine by NAA with probe detection,Mycobacterium tuberculosis DNA,PrThr,Pt,Urine,Ord,Probe.amp.tar,,http://loinc.org,1.0k,2.73,1.0,1.0
549,Mikrobiologi Klinik,Mycoplasma pneumonia (PCR),Permintaan & Hasil,Saluran nafas ,Ordinal,,,92126-2,Mycoplasma pneumoniae DNA [Presence] in Respiratory system specimen by NAA with probe detection,Mycoplasma pneumoniae DNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.66,2.75,1.0,1.0
550,Mikrobiologi Klinik,Salmonella (PCR),Permintaan & Hasil,Darah,Ordinal,,PCR,70021-1,Salmonella typhi DNA [Presence] in Blood by NAA with probe detection,Salmonella typhi DNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,,http://loinc.org,2.4,2.68,1.0,1.0
551,Mikrobiologi Klinik,Salmonella (PCR),Permintaan & Hasil,Feses,Ordinal,,PCR,97313-1,Salmonella sp DNA [Presence] in Stool by NAA with probe detection,Salmonella sp DNA,PrThr,Pt,Stool,Ord,Probe.amp.tar,,http://loinc.org,2.7,2.7,1.0,1.0
552,Mikrobiologi Klinik,EBV DNA (PCR),Permintaan & Hasil,Darah,Ordinal,,PCR,5002-1,Epstein Barr virus DNA [Presence] in Blood by NAA with probe detection,Epstein Barr virus DNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,,http://loinc.org,1.0,2.73,1.0,1.0
553,Mikrobiologi Klinik,EBV DNA (PCR),Permintaan & Hasil,Darah,Quantitative,IU/mL,PCR,43730-1,Epstein Barr virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,Epstein Barr virus DNA,ACnc,Pt,Ser/Plas,Qn,Probe.amp.tar,[IU]/mL,http://loinc.org,2.17,2.73,1.0,1.0
554,Mikrobiologi Klinik,EBV DNA (PCR),Permintaan & Hasil,Darah,Quantitative,{copies}/mL,PCR,47982-4,Epstein Barr virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,Epstein Barr virus DNA,NCnc,Pt,Ser/Plas,Qn,Probe.amp.tar,{copies}/mL,http://loinc.org,2.21,2.73,1.0,1.0
555,Mikrobiologi Klinik,SARS CoV-2 RNA (PCR),Permintaan & Hasil,Swab Naso & Orofaring,Ordinal,,PCR,94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
556,Mikrobiologi Klinik,SARS CoV-2 RNA (PCR),Permintaan & Hasil,Sputum,Ordinal,,PCR,94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
557,Mikrobiologi Klinik,SARS CoV-2 RNA CT Value,Hasil,Swab Naso & Orofaring,Quantitative,{Ct_value},PCR,94745-7,SARS-CoV-2 (COVID-19) RNA [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RNA,ThreshNum,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{Ct_value},http://loinc.org,2.68,2.75,1.0,1.0
558,Mikrobiologi Klinik,SARS CoV-2 kuantitatif,Permintaan & Hasil,Serum,Quantitative,IU/mL,Immunoassay,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org,2.68,2.71,1.0,1.0
559,Mikrobiologi Klinik,SARS Cov-2 GEN E,Permintaan & Hasil,Sputum,Ordinal,,PCR,96763-8,SARS-CoV-2 (COVID-19) E gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 E gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.7,2.75,1.0,1.0
560,Mikrobiologi Klinik,SARS Cov-2 GEN E CT Value,Permintaan & Hasil,Sputum,Quantitative,{Ct_value},PCR,96764-6,SARS-CoV-2 (COVID-19) E gene [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 E gene,ThreshNum,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{Ct_value},http://loinc.org,2.7,2.75,1.0,1.0
561,Mikrobiologi Klinik,SARS Cov-2 GEN N,Permintaan & Hasil,Sputum,Ordinal,,PCR,94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
562,Mikrobiologi Klinik,SARS Cov-2 GEN N CT Value,Hasil,Sputum,Quantitative,{Ct_value},PCR,94510-5,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by NAA with probe detection,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,{Ct_value},http://loinc.org,2.68,2.69,1.0,1.0
563,Mikrobiologi Klinik,SARS Cov-2 GEN S,Permintaan & Hasil,Swab Naso & Orofaring,Ordinal,,PCR,94640-0,SARS-CoV-2 (COVID-19) S gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 S gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
564,Mikrobiologi Klinik,SARS Cov-2 GEN S CT Value,Hasil,Swab Naso & Orofaring,Quantitative,{Ct_value},PCR,94642-6,SARS-CoV-2 (COVID-19) S gene [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 S gene,ThreshNum,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{Ct_value},http://loinc.org,2.68,2.75,1.0,1.0
565,Mikrobiologi Klinik,SARS Cov-2 GEN N1,Hasil,Swab Naso & Orofaring,Ordinal,,PCR,94756-4,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N1,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar.CDC primer-probe set N1,,http://loinc.org,2.68,2.75,1.0,1.0
566,Mikrobiologi Klinik,SARS Cov-2 GEN N1 CT Value,Hasil,Swab Naso & Orofaring,Quantitative,{Ct_value},PCR,94311-8,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by Nucleic acid amplification using CDC primer-probe set N1,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar.CDC primer-probe set N1,{Ct_value},http://loinc.org,2.68,2.69,1.0,1.0
567,Mikrobiologi Klinik,SARS Cov-2 GEN N2,Hasil,Swab Naso & Orofaring,Ordinal,,PCR,94757-2,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N2,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar.CDC primer-probe set N2,,http://loinc.org,2.68,2.75,1.0,1.0
568,Mikrobiologi Klinik,SARS Cov-2 GEN N2 CT Value,Hasil,Swab Naso & Orofaring,Quantitative,{Ct_value},PCR,94312-6,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by Nucleic acid amplification using CDC primer-probe set N2,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar.CDC primer-probe set N2,{Ct_value},http://loinc.org,2.68,2.69,1.0,1.0
569,Mikrobiologi Klinik,SARS Cov-2 GEN RdRP,Permintaan & Hasil,Swab Naso & Orofaring,Ordinal,,PCR,94534-5,SARS-CoV-2 (COVID-19) RdRp gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RdRp gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
570,Mikrobiologi Klinik,SARS Cov-2 GEN RdRP CT Value,Hasil,Swab Naso & Orofaring,Quantitative,{Ct_value},PCR,94646-7,SARS-CoV-2 (COVID-19) RdRp gene [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 RdRp gene,ThreshNum,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{Ct_value},http://loinc.org,2.68,2.75,1.0,1.0
571,Mikrobiologi Klinik,SARS Cov-2 GEN ORF1ab,Hasil,Swab Naso & Orofaring,Ordinal,,PCR,94559-2,SARS-CoV-2 (COVID-19) ORF1ab region [Presence] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,,http://loinc.org,2.68,2.75,1.0,1.0
572,Mikrobiologi Klinik,SARS Cov-2 GEN ORF1ab CT Value,Hasil,Swab Naso & Orofaring,Quantitative,{Ct_value},PCR,94644-2,SARS-CoV-2 (COVID-19) ORF1ab region [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,SARS coronavirus 2 ORF1ab region,ThreshNum,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,{Ct_value},http://loinc.org,2.68,2.75,1.0,1.0
