IDKategori,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System
26,Eritrosit sedimen urine,Hasil,Urine,Quantitative,/µL,Automated count,798-9,Erythrocytes [#/volume] in Urine by Automated count,Erythrocytes,NCnc,Pt,Urine,Qn,Automated count,/uL,http://loinc.org
26,Eritrosit sedimen urine,Hasil,Urine,Quantitative,/LPB,Automated count,46419-8,Erythrocytes [#/area] in Urine sediment by Automated count,Erythrocytes,Naric,Pt,Urine sed,Qn,Automated count,/[HPF],http://loinc.org
26,Eritrosit dismorfik urine,Hasil,Urine,Ordinal,,Mikroskopis,58444-1,Erythrocytes.dysmorphic [Presence] in Urine sediment by Light microscopy,Erythrocytes.dysmorphic,PrThr,Pt,Urine sed,Ord,Microscopy.light,,http://loinc.org
26,Eritrosit sedimen urine,Hasil,Urine,Quantitative,/LPB,Automated count,49505-1,Erythrocyte clumps [#/area] in Urine sediment by Automated count,Erythrocyte clumps,Naric,Pt,Urine sed,Qn,Automated count,/[HPF],http://loinc.org
26,Sel blas urine,Hasil,Urine,Nominal,,,X099209,Sel blas urine,,,Pt,Urine,Nom,,,http://terminology.kemkes.go.id/CodeSystem/examination
26,Panel kristal - sedimen urine,Permintaan,Urine,Quantitative,,,58433-4,Crystals panel - Urine sediment,Crystals panel,-,Pt,Urine sed,Qn,,,http://loinc.org
26,Eritrosit sedimen urine,Hasil,Urine,Quantitative,/LPB,Mikroskopis,58449-0,Erythrocyte clumps [#/area] in Urine sediment by Microscopy high power field,Erythrocyte clumps,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/[HPF],http://loinc.org
26,Eritrosit sedimen urine,Hasil,Urine,Quantitative,/µL,,30391-7,Erythrocytes [#/volume] in Urine,Erythrocytes,NCnc,Pt,Urine,Qn,,/uL,http://loinc.org
26,Kristal sedimen urine,Permintaan & Hasil,Urine,Nominal,,Mikroskopik,5782-8,Crystals [type] in Urine sediment by Light microscopy,Crystals,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Eritrosit sedimen urine,Hasil,Urine,Quantitative,/µL,Manual count,799-7,Erythrocytes [#/volume] in Urine by Manual count,Erythrocytes,NCnc,Pt,Urine,Qn,Manual count,/uL,http://loinc.org
26,Kristal sedimen urine,Permintaan & Hasil,Urine,Ordinal,,,87828-0,Crystals [Presence] in Urine,Crystals,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Kristal sedimen urine,Hasil,Urine,Ordinal,,Mikroskopik,49755-2,Crystals [Presence] in Urine sediment by Light microscopy,Crystals,PrThr,Pt,Urine sed,Ord,Microscopy.light,,http://loinc.org
26,Eritrosit sedimen urine,Hasil,Urine,Quantitative,/µL,Automated count,798-9,Erythrocytes [#/volume] in Urine by Automated count,Erythrocytes,NCnc,Pt,Urine,Qn,Automated count,/uL,http://loinc.org
26,Kristal sedimen urine,Permintaan & Hasil,Urine,Quantitative,/LPB,,38459-4,Crystals [#/area] in Urine sediment by Microscopy high power field,Crystals,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/[HPF],http://loinc.org
26,Eritrosit dismorfik urine,Hasil,Urine,Ordinal,,Mikroskopis,58444-1,Erythrocytes.dysmorphic [Presence] in Urine sediment by Light microscopy,Erythrocytes.dysmorphic,PrThr,Pt,Urine sed,Ord,Microscopy.light,,http://loinc.org
26,Kristal sedimen urine,Hasil,Urine,Quantitative,/µL,Automated count,51482-8,Crystals [#/volume] in Urine by Automated count,Crystals,NCnc,Pt,Urine,Qn,Automated count,/uL,http://loinc.org
26,Sel blas urine,Hasil,Urine,Nominal,,,X099209,Sel blas urine,,,Pt,Urine,Nom,,,http://terminology.kemkes.go.id/CodeSystem/examination
26,Kesan ,Hasil ,Urine,Narrative,,,48767-8,Annotation comment [Interpretation] Narrative,Imp,Pt,{system},Nar,,,,http://loinc.org
26,Lain-lain sedimen urine,Hasil,Urine,Nominal,,,58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,Other elements,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Panel kristal - sedimen urine,Permintaan,Urine,Quantitative,,,58433-4,Crystals panel - Urine sediment,Crystals panel,-,Pt,Urine sed,Qn,,,http://loinc.org
26,Lain-lain sedimen urine,Hasil,Urine,Qualitative,,Mikroskopis,58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,Other elements,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Kristal sedimen urine,Permintaan & Hasil,Urine,Nominal,,Mikroskopik,5782-8,Crystals [type] in Urine sediment by Light microscopy,Crystals,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Lain-lain sedimen urine,Hasil,Urine,Nominal,,Automated,58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,Other elements,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Oval fat bodies,Hasil,Urine,Ordinal,,,25158-7,Oval fat bodies (globules) [Presence] in Urine sediment by Light microscopy,Oval fat bodies (globules),PrThr,Pt,Urine sed,Ord,Microscopy.light,,http://loinc.org
26,Kristal sedimen urine,Permintaan & Hasil,Urine,Ordinal,,,87828-0,Crystals [Presence] in Urine,Crystals,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Oval fat bodies,Hasil,Urine,Quantitative,/LPB,Automated count,33222-1,Oval fat bodies (globules) [#/area] in Urine sediment by Automated count,Oval fat bodies (globules),Naric,Pt,Urine sed,Qn,Automated count,/[HPF],http://loinc.org
26,Kristal sedimen urine,Hasil,Urine,Ordinal,,Mikroskopik,49755-2,Crystals [Presence] in Urine sediment by Light microscopy,Crystals,PrThr,Pt,Urine sed,Ord,Microscopy.light,,http://loinc.org
26,Kristal sedimen urine,Permintaan & Hasil,Urine,Quantitative,/LPB,,38459-4,Crystals [#/area] in Urine sediment by Microscopy high power field,Crystals,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/[HPF],http://loinc.org
26,Oval fat bodies,Hasil,Urine,Quantitative,/LPB,Manual count,5788-5,Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field,Oval fat bodies (globules),Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/[HPF],http://loinc.org
26,Protein esbach,Permintaan & Hasil,Urine 24 jam,Quantitative,g/24 jam,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Kristal sedimen urine,Hasil,Urine,Quantitative,/µL,Automated count,51482-8,Crystals [#/volume] in Urine by Automated count,Crystals,NCnc,Pt,Urine,Qn,Automated count,/uL,http://loinc.org
26,Esbach,Permintaan & Hasil,Urin Tpg,Quantitative,,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Lain-lain sedimen urine,Hasil,Urine,Nominal,,,58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,Other elements,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Haemosiderin urine,Permintaan & Hasil,Urine,Ordinal,,,4644-1,Hemosiderin [Presence] in Urine,Hemosiderin,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Lain-lain sedimen urine,Hasil,Urine,Qualitative,,Mikroskopis,58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,Other elements,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Myoglobulin urine,Permintaan & Hasil,Urine,Ordinal,,,2640-1,Myoglobin [Presence] in Urine,Myoglobin,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Lain-lain sedimen urine,Hasil,Urine,Nominal,,Automated,58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,Other elements,Prid,Pt,Urine sed,Nom,Microscopy.light,,http://loinc.org
26,Albumin urine,Permintaan & Hasil,Urine,Ordinal,,,1753-3,Albumin [Presence] in Urine,Albumin,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Oval fat bodies,Hasil,Urine,Ordinal,,,25158-7,Oval fat bodies (globules) [Presence] in Urine sediment by Light microscopy,Oval fat bodies (globules),PrThr,Pt,Urine sed,Ord,Microscopy.light,,http://loinc.org
26,Oval fat bodies,Hasil,Urine,Quantitative,/LPB,Automated count,33222-1,Oval fat bodies (globules) [#/area] in Urine sediment by Automated count,Oval fat bodies (globules),Naric,Pt,Urine sed,Qn,Automated count,/[HPF],http://loinc.org
26,Albumin urine,Permintaan & Hasil,Urine,Ordinal,,Test strip,50949-7,Albumin [Presence] in Urine by Test strip,Albumin,PrThr,Pt,Urine,Ord,Test strip,,http://loinc.org
26,Albumin urine,Permintaan & Hasil,Urine,Quantitative,g/dL,,1754-1,Albumin [Mass/volume] in Urine,Albumin,MCnc,Pt,Urine,Qn,,g/dL,http://loinc.org
26,Oval fat bodies,Hasil,Urine,Quantitative,/LPB,Manual count,5788-5,Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field,Oval fat bodies (globules),Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/[HPF],http://loinc.org
26,Protein esbach,Permintaan & Hasil,Urine 24 jam,Quantitative,g/24 jam,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Mikroalbumin urine kualitatif,Permintaan & Hasil,Urine,Ordinal,,,95232-5,Microalbumin [Presence] in Urine by Test strip,Albumin,PrThr,Pt,Urine,Ord,Detection limit <= 20 mg/L test strip,,http://loinc.org
26,Esbach,Permintaan & Hasil,Urin Tpg,Quantitative,,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Protein Urine,Hasil,Urine,Ordinal,,Photometry,57735-3,Protein [Presence] in Urine by Automated test strip,Protein,PrThr,Pt,Urine,Ord,Test strip.automated,,http://loinc.org
26,Protein urine sewaktu,Permintaan & Hasil,Urine,Quantitative,mg/dL,,2888-6,Protein [Mass/volume] in Urine,Protein,MCnc,Pt,Urine,Qn,,g/dL,http://loinc.org
26,Haemosiderin urine,Permintaan & Hasil,Urine,Ordinal,,,4644-1,Hemosiderin [Presence] in Urine,Hemosiderin,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Myoglobulin urine,Permintaan & Hasil,Urine,Ordinal,,,2640-1,Myoglobin [Presence] in Urine,Myoglobin,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Protein urine sewaktu,Permintaan & Hasil,Urine,Quantitative,mg/dL,Test strip,5804-0,Protein [Mass/volume] in Urine by Test strip,Protein,MCnc,Pt,Urine,Qn,Test strip,mg/dL,http://loinc.org
26,Albumin urine,Permintaan & Hasil,Urine,Ordinal,,,1753-3,Albumin [Presence] in Urine,Albumin,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Protein urine 24 jam,Permintaan & Hasil,Urine 24 jam,Quantitative,mg/L,,21482-5,Protein [Mass/volume] in 24 hour Urine,Protein,MCnc,24H,Urine,Qn,,g/dL,http://loinc.org
26,Protein urine 24 jam,Permintaan & Hasil,Urine 24 jam,Quantitative,g/24 jam,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Albumin urine,Permintaan & Hasil,Urine,Ordinal,,Test strip,50949-7,Albumin [Presence] in Urine by Test strip,Albumin,PrThr,Pt,Urine,Ord,Test strip,,http://loinc.org
26,Albumin urine,Permintaan & Hasil,Urine,Quantitative,g/dL,,1754-1,Albumin [Mass/volume] in Urine,Albumin,MCnc,Pt,Urine,Qn,,g/dL,http://loinc.org
26,Rasio protein/kreatinin urine,Permintaan & Hasil,Urine,Quantitative,mg/g{creat},,2890-2,Protein/Creatinine [Mass Ratio] in Urine,Protein/Creatinine,MRto,Pt,Urine,Qn,,mg/g{creat},http://loinc.org
26,Obermeyer,Permintaan & Hasil,Urine,Ordinal,,,2474-5,Indicans [Presence] in Urine,Indicans,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Mikroalbumin urine kualitatif,Permintaan & Hasil,Urine,Ordinal,,,95232-5,Microalbumin [Presence] in Urine by Test strip,Albumin,PrThr,Pt,Urine,Ord,Detection limit <= 20 mg/L test strip,,http://loinc.org
26,Osmolaritas urine,Permintaan & Hasil,Urine,Quantitative,mosm/kg,,2695-5,Osmolality of Urine,Osmolality,Osmol,Pt,Urine,Qn,,mosm/kg,http://loinc.org
26,Protein Urine,Hasil,Urine,Ordinal,,Photometry,57735-3,Protein [Presence] in Urine by Automated test strip,Protein,PrThr,Pt,Urine,Ord,Test strip.automated,,http://loinc.org
26,Tes kehamilan (Beta-HCG),Permintaan & Hasil,Urine,Ordinal,,,2112-1,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine,Choriogonadotropin.beta subunit (pregnancy test),PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Protein urine sewaktu,Permintaan & Hasil,Urine,Quantitative,mg/dL,,2888-6,Protein [Mass/volume] in Urine,Protein,MCnc,Pt,Urine,Qn,,g/dL,http://loinc.org
26,Tes Kehamilan (Beta-HCG),Permintaan & Hasil,Urine,Ordinal,,Aglutinasi,2112-1,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine,Choriogonadotropin.beta subunit (pregnancy test),PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Protein urine sewaktu,Permintaan & Hasil,Urine,Quantitative,mg/dL,Test strip,5804-0,Protein [Mass/volume] in Urine by Test strip,Protein,MCnc,Pt,Urine,Qn,Test strip,mg/dL,http://loinc.org
26,Tes kehamilan (Beta-HCG),Permintaan & Hasil,Urine,Ordinal,,Immunochromatography,2112-1,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine,Choriogonadotropin.beta subunit (pregnancy test),PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Protein urine 24 jam,Permintaan & Hasil,Urine 24 jam,Quantitative,mg/L,,21482-5,Protein [Mass/volume] in 24 hour Urine,Protein,MCnc,24H,Urine,Qn,,g/dL,http://loinc.org
26,Beta-HCG kuantitatif urine,Permintaan & Hasil,Urine,Quantitative,mIU/mL,,25372-4,Choriogonadotropin [Units/volume] in Urine,Choriogonadotropin,ACnc,Pt,Urine,Qn,,[IU]/L,http://loinc.org
26,Protein urine 24 jam,Permintaan & Hasil,Urine 24 jam,Quantitative,g/24 jam,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Beta-HCG kuantitatif urine,Permintaan & Hasil,Urine,Quantitative,mIU/mL,CMIA,25372-4,Choriogonadotropin [Units/volume] in Urine,Choriogonadotropin,ACnc,Pt,Urine,Qn,,[IU]/L,http://loinc.org
26,Rasio protein/kreatinin urine,Permintaan & Hasil,Urine,Quantitative,mg/g{creat},,2890-2,Protein/Creatinine [Mass Ratio] in Urine,Protein/Creatinine,MRto,Pt,Urine,Qn,,mg/g{creat},http://loinc.org
26,FSH urine,Permintaan & Hasil,Urine,Quantitative,m[IU]/ml,,15067-2,Follitropin [Units/volume] in Serum or Plasma,Follitropin,ACnc,Pt,Ser/Plas,Qn,,m[IU]/mL,http://loinc.org
26,Obermeyer,Permintaan & Hasil,Urine,Ordinal,,,2474-5,Indicans [Presence] in Urine,Indicans,PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Osmolaritas urine,Permintaan & Hasil,Urine,Quantitative,mosm/kg,,2695-5,Osmolality of Urine,Osmolality,Osmol,Pt,Urine,Qn,,mosm/kg,http://loinc.org
26,Elektroforesis protein urine sewaktu,Permintaan,Urine,Quantitative,,Electrophoresis,34539-7,Protein electrophoresis panel - Urine,Protein fractions panel,-,Pt,Urine,Qn,Electrophoresis,,http://loinc.org
26,Tes kehamilan (Beta-HCG),Permintaan & Hasil,Urine,Ordinal,,,2112-1,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine,Choriogonadotropin.beta subunit (pregnancy test),PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Elektroforesis protein urine 24 jam,Permintaan,Urine 24 jam,,,Electrophoresis,81231-3,Protein electrophoresis panel - 24 hour Urine,Protein fractions panel,-,24H,Urine,-,Electrophoresis,,http://loinc.org
26,Tes Kehamilan (Beta-HCG),Permintaan & Hasil,Urine,Ordinal,,Aglutinasi,2112-1,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine,Choriogonadotropin.beta subunit (pregnancy test),PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Protein total urine sewaktu,Permintaan & Hasil,Urine,Quantitative,g/dL,,2888-6,Protein [Mass/volume] in Urine,Protein,MCnc,Pt,Urine,Qn,,g/dL,http://loinc.org
26,Tes kehamilan (Beta-HCG),Permintaan & Hasil,Urine,Ordinal,,Immunochromatography,2112-1,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine,Choriogonadotropin.beta subunit (pregnancy test),PrThr,Pt,Urine,Ord,,,http://loinc.org
26,Protein total urine 24 jam,Permintaan & Hasil,Urine 24 jam,Quantitative,g/24 jam,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Beta-HCG kuantitatif urine,Permintaan & Hasil,Urine,Quantitative,mIU/mL,,25372-4,Choriogonadotropin [Units/volume] in Urine,Choriogonadotropin,ACnc,Pt,Urine,Qn,,[IU]/L,http://loinc.org
26,Albumin urine sewaktu (Elektroforesis),Permintaan & Hasil,Urine,Quantitative,g/dL,Electrophoresis,6942-7,Albumin [Mass/volume] in Urine by Electrophoresis,Albumin,MCnc,Pt,Urine,Qn,Electrophoresis,g/dL,http://loinc.org
26,Beta-HCG kuantitatif urine,Permintaan & Hasil,Urine,Quantitative,mIU/mL,CMIA,25372-4,Choriogonadotropin [Units/volume] in Urine,Choriogonadotropin,ACnc,Pt,Urine,Qn,,[IU]/L,http://loinc.org
26,Albumin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,g/24 jam,Electrophoresis,6941-9,Albumin [Mass/time] in 24 hour Urine by Electrophoresis,Albumin,MRat,24H,Urine,Qn,Electrophoresis,g/(24.h),http://loinc.org
26,Alfa 1 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,%,Electrophoresis,13990-7,Alpha 1 globulin/Protein.total in Urine by Electrophoresis,Alpha 1 globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,%,http://loinc.org
26,FSH urine,Permintaan & Hasil,Urine,Quantitative,m[IU]/ml,,15067-2,Follitropin [Units/volume] in Serum or Plasma,Follitropin,ACnc,Pt,Ser/Plas,Qn,,m[IU]/mL,http://loinc.org
26,Elektroforesis protein urine sewaktu,Permintaan,Urine,Quantitative,,Electrophoresis,34539-7,Protein electrophoresis panel - Urine,Protein fractions panel,-,Pt,Urine,Qn,Electrophoresis,,http://loinc.org
26,Alfa 1 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,g/dL,Electrophoresis,9734-5,Alpha 1 globulin [Mass/volume] in Urine by Electrophoresis,Alpha 1 globulin,MCnc,Pt,Urine,Qn,Electrophoresis,g/dL,http://loinc.org
26,Alfa 1 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,%,Electrophoresis,13984-0,Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha 1 globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Elektroforesis protein urine 24 jam,Permintaan,Urine 24 jam,,,Electrophoresis,81231-3,Protein electrophoresis panel - 24 hour Urine,Protein fractions panel,-,24H,Urine,-,Electrophoresis,,http://loinc.org
26,Protein total urine sewaktu,Permintaan & Hasil,Urine,Quantitative,g/dL,,2888-6,Protein [Mass/volume] in Urine,Protein,MCnc,Pt,Urine,Qn,,g/dL,http://loinc.org
26,Alfa 1 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,mg/24 jam,Electrophoresis,6794-2,Alpha 1 globulin [Mass/time] in 24 hour Urine by Electrophoresis,Alpha 1 globulin,MRat,24H,Urine,Qn,Electrophoresis,mg/(24.h),http://loinc.org
26,Alfa 2 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,%,Electrophoresis,13993-1,Alpha 2 globulin/Protein.total in Urine by Electrophoresis,Alpha 2 globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Protein total urine 24 jam,Permintaan & Hasil,Urine 24 jam,Quantitative,g/24 jam,,2889-4,Protein [Mass/time] in 24 hour Urine,Protein,MRat,24H,Urine,Qn,,g/(24.h),http://loinc.org
26,Alfa 2 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,mg/dL,Electrophoresis,38190-5,Alpha 2 globulin [Mass/volume] in Urine by Electrophoresis,Alpha 2 globulin,MCnc,Pt,Urine,Qn,Electrophoresis,mg/dL,http://loinc.org
26,Albumin urine sewaktu (Elektroforesis),Permintaan & Hasil,Urine,Quantitative,g/dL,Electrophoresis,6942-7,Albumin [Mass/volume] in Urine by Electrophoresis,Albumin,MCnc,Pt,Urine,Qn,Electrophoresis,g/dL,http://loinc.org
26,Alfa 2 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,%,Electrophoresis,13987-3,Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha 2 globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Albumin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,g/24 jam,Electrophoresis,6941-9,Albumin [Mass/time] in 24 hour Urine by Electrophoresis,Albumin,MRat,24H,Urine,Qn,Electrophoresis,g/(24.h),http://loinc.org
26,Alfa 1 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,%,Electrophoresis,13990-7,Alpha 1 globulin/Protein.total in Urine by Electrophoresis,Alpha 1 globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Alfa 2 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,mg/24 jam,Electrophoresis,6795-9,Alpha 2 globulin [Mass/time] in 24 hour Urine by Electrophoresis,Alpha 2 globulin,MRat,24H,Urine,Qn,Electrophoresis,mg/(24.h),http://loinc.org
26,Beta globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,%,Electrophoresis,13994-9,Beta globulin/Protein.total in Urine by Electrophoresis,Beta globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Alfa 1 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,g/dL,Electrophoresis,9734-5,Alpha 1 globulin [Mass/volume] in Urine by Electrophoresis,Alpha 1 globulin,MCnc,Pt,Urine,Qn,Electrophoresis,g/dL,http://loinc.org
26,Alfa 1 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,%,Electrophoresis,13984-0,Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha 1 globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Beta globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,g/dL,Electrophoresis,9744-4,Beta globulin [Mass/volume] in Urine by Electrophoresis,Beta globulin,MCnc,Pt,Urine,Qn,Electrophoresis,g/dL,http://loinc.org
26,Beta globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,%,Electrophoresis,13988-1,Beta globulin/Protein.total in 24 hour Urine by Electrophoresis,Beta globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Alfa 1 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,mg/24 jam,Electrophoresis,6794-2,Alpha 1 globulin [Mass/time] in 24 hour Urine by Electrophoresis,Alpha 1 globulin,MRat,24H,Urine,Qn,Electrophoresis,mg/(24.h),http://loinc.org
26,Alfa 2 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,%,Electrophoresis,13993-1,Alpha 2 globulin/Protein.total in Urine by Electrophoresis,Alpha 2 globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Beta globulin urine 24 jam (Elektroforesis),Permintaan & Hasil,Urine 24 jam,Quantitative,mg/24 jam,Electrophoresis,94714-3,Beta globulin [Mass/time] in 24 hour Urine by Electrophoresis,Beta globulin,MRat,24H,Urine,Qn,Electrophoresis,mg/(24.h),http://loinc.org
26,Gamma globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,%,Electrophoresis,13995-6,Gamma globulin/Protein.total in Urine by Electrophoresis,Gamma globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Alfa 2 globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,mg/dL,Electrophoresis,38190-5,Alpha 2 globulin [Mass/volume] in Urine by Electrophoresis,Alpha 2 globulin,MCnc,Pt,Urine,Qn,Electrophoresis,mg/dL,http://loinc.org
26,Alfa 2 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,%,Electrophoresis,13987-3,Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis,Alpha 2 globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Gamma globulin urine sewaktu (Elektroforesis),Hasil,Urine 24 jam,Quantitative,g/dL,Electrophoresis,9745-1,Gamma globulin [Mass/volume] in Urine by Electrophoresis,Gamma globulin,MCnc,Pt,Urine,Qn,Electrophoresis,g/dL,http://loinc.org
26,Gamma globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,%,Electrophoresis,13989-9,Gamma globulin/Protein.total in 24 hour Urine by Electrophoresis,Gamma globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Alfa 2 globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,mg/24 jam,Electrophoresis,6795-9,Alpha 2 globulin [Mass/time] in 24 hour Urine by Electrophoresis,Alpha 2 globulin,MRat,24H,Urine,Qn,Electrophoresis,mg/(24.h),http://loinc.org
26,Beta globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,%,Electrophoresis,13994-9,Beta globulin/Protein.total in Urine by Electrophoresis,Beta globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,%,http://loinc.org
26,Gamma globulin urine 24 jam (Elektroforesis),Permintaan & Hasil,Urine 24 jam,Quantitative,g/24 jam,Electrophoresis,94715-0,Gamma globulin [Mass/time] in 24 hour Urine by Electrophoresis,Gamma globulin,MRat,24H,Urine,Qn,Electrophoresis,mg/(24.h),http://loinc.org
26,Rasio albumin/globulin urine sewaktu,Hasil,Urine,Quantitative,,,9405-2,Albumin/Globulin [Mass Ratio] in Urine,Albumin/Globulin,MRto,Pt,Urine,Qn,,{ratio},http://loinc.org
26,Beta globulin urine sewaktu (Elektroforesis),Hasil,Urine,Quantitative,g/dL,Electrophoresis,9744-4,Beta globulin [Mass/volume] in Urine by Electrophoresis,Beta globulin,MCnc,Pt,Urine,Qn,Electrophoresis,g/dL,http://loinc.org
26,Beta globulin urine 24 jam (Elektroforesis),Hasil,Urine 24 jam,Quantitative,%,Electrophoresis,13988-1,Beta globulin/Protein.total in 24 hour Urine by Electrophoresis,Beta globulin/Protein.total,MFr,24H,Urine,Qn,Electrophoresis,%,http://loinc.org
