Nomor,Kategori Pemeriksaan ,Spesimen ,Nama Pemeriksaan ,Permintaan/Hasil,Tipe Hasil Pemeriksaan,Kode ,Nama Pemeriksaan ,Code System ,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
195,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Fite Faraco jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099590,Histokimia Pemeriksaan Fite Faraco jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
196,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Fite Faraco jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099591,Histokimia Pemeriksaan Fite Faraco jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
197,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Fite Faraco jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099592,Histokimia Pemeriksaan Fite Faraco jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
198,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Fite Faraco jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099593,Histokimia Pemeriksaan Fite Faraco jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
199,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Fite Faraco jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099594,Histokimia Pemeriksaan Fite Faraco jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
200,Histokimia ,Jaringan retikuloendotelial,Histokimia Pemeriksaan Fite Faraco jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099595,Histokimia Pemeriksaan Fite Faraco jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
201,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Fite Faraco jaringan lainnya,Permintaan & Hasil,Naratif ,PA099596,Histokimia Pemeriksaan Fite Faraco jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
202,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Congo Red jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099597,Histokimia Pemeriksaan Congo Red jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
203,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Congo Red jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099598,Histokimia Pemeriksaan Congo Red jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
204,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia Pemeriksaan Congo Red jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099599,"Histokimia Pemeriksaan Congo Red jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
205,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Congo Red jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099600,Histokimia Pemeriksaan Congo Red jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
206,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Congo Red jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099601,Histokimia Pemeriksaan Congo Red jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
207,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Congo Red jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099602,Histokimia Pemeriksaan Congo Red jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
208,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Congo Red jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099603,Histokimia Pemeriksaan Congo Red jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
209,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Congo Red jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099604,Histokimia Pemeriksaan Congo Red jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
210,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Congo Red jaringan kulit ,Permintaan & Hasil,Naratif ,PA099605,Histokimia Pemeriksaan Congo Red jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
211,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Congo Red jaringan payudara ,Permintaan & Hasil,Naratif ,PA099606,Histokimia Pemeriksaan Congo Red jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
212,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Congo Red jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099607,Histokimia Pemeriksaan Congo Red jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
213,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Congo Red jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099608,Histokimia Pemeriksaan Congo Red jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
214,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Congo Red jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099609,Histokimia Pemeriksaan Congo Red jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
215,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Congo Red jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099610,Histokimia Pemeriksaan Congo Red jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
216,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Congo Red jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099611,Histokimia Pemeriksaan Congo Red jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
217,Histokimia ,Jaringan retikuloendotelial,Histokimia Pemeriksaan Congo Red jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099612,Histokimia Pemeriksaan Congo Red jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
218,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Congo Red jaringan lainnya,Permintaan & Hasil,Naratif ,PA099613,Histokimia Pemeriksaan Congo Red jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
219,Histokimia ,Jaringan sistem saraf pusat,Histokimia deteksi substansi karbohidrat jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099614,Histokimia deteksi substansi karbohidrat jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
220,Histokimia ,Jaringan mata dan adneksa ,Histokimia deteksi substansi karbohidrat jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099615,Histokimia deteksi substansi karbohidrat jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
221,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia deteksi substansi karbohidrat jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099616,"Histokimia deteksi substansi karbohidrat jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
222,Histokimia ,Jaringan respiratori ,Histokimia deteksi substansi karbohidrat jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099617,Histokimia deteksi substansi karbohidrat jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
223,Histokimia ,Jaringan kardiovaskular ,Histokimia deteksi substansi karbohidrat jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099618,Histokimia deteksi substansi karbohidrat jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
224,Histokimia ,Jaringan gastrointestinal ,Histokimia deteksi substansi karbohidrat jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099619,Histokimia deteksi substansi karbohidrat jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
225,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia deteksi substansi karbohidrat jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099620,Histokimia deteksi substansi karbohidrat jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
226,Histokimia ,Jaringan muskuloskeletal ,Histokimia deteksi substansi karbohidrat jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099621,Histokimia deteksi substansi karbohidrat jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
227,Histokimia ,Jaringan kulit ,Histokimia deteksi substansi karbohidrat jaringan kulit,Permintaan & Hasil,Naratif ,PA099622,Histokimia deteksi substansi karbohidrat jaringan kulit,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
228,Histokimia ,Jaringan payudara ,Histokimia deteksi substansi karbohidrat jaringan payudara ,Permintaan & Hasil,Naratif ,PA099623,Histokimia deteksi substansi karbohidrat jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
229,Histokimia ,Jaringan endokrin ,Histokimia deteksi substansi karbohidrat jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099624,Histokimia deteksi substansi karbohidrat jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
230,Histokimia ,Jaringan nefrourinaria ,Histokimia deteksi substansi karbohidrat jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099625,Histokimia deteksi substansi karbohidrat jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
231,Histokimia ,Jaringan genitalia pria ,Histokimia deteksi substansi karbohidrat jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099626,Histokimia deteksi substansi karbohidrat jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
232,Histokimia ,Jaringan genitalia wanita ,Histokimia deteksi substansi karbohidrat jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099627,Histokimia deteksi substansi karbohidrat jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
233,Histokimia ,Jaringan hematopoetic ,Histokimia deteksi substansi karbohidrat jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099628,Histokimia deteksi substansi karbohidrat jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
234,Histokimia ,Jaringan retikuloendotelial,Histokimia deteksi substansi karbohidrat jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099629,Histokimia deteksi substansi karbohidrat jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
235,Histokimia ,Jaringan lainnya ,Histokimia deteksi substansi karbohidrat jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099630,Histokimia deteksi substansi karbohidrat jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
236,Histokimia ,Jaringan sistem saraf pusat,Histokimia deteksi bakteri jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099631,Histokimia deteksi bakteri jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
237,Histokimia ,Jaringan mata dan adneksa ,Histokimia deteksi bakteri jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099632,Histokimia deteksi bakteri jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
238,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia deteksi bakteri jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099633,"Histokimia deteksi bakteri jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
239,Histokimia ,Jaringan respiratori ,Histokimia deteksi bakteri jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099634,Histokimia deteksi bakteri jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
240,Histokimia ,Jaringan kardiovaskular ,Histokimia deteksi bakteri jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099635,Histokimia deteksi bakteri jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
241,Histokimia ,Jaringan gastrointestinal ,Histokimia deteksi bakteri jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099636,Histokimia deteksi bakteri jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
242,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia deteksi bakteri jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099637,Histokimia deteksi bakteri jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
243,Histokimia ,Jaringan muskuloskeletal ,Histokimia deteksi bakteri jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099638,Histokimia deteksi bakteri jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
244,Histokimia ,Jaringan kulit ,Histokimia deteksi bakteri jaringan kulit ,Permintaan & Hasil,Naratif ,PA099639,Histokimia deteksi bakteri jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
245,Histokimia ,Jaringan payudara ,Histokimia deteksi bakteri jaringan payudara ,Permintaan & Hasil,Naratif ,PA099640,Histokimia deteksi bakteri jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
246,Histokimia ,Jaringan endokrin ,Histokimia deteksi bakteri jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099641,Histokimia deteksi bakteri jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
247,Histokimia ,Jaringan nefrourinaria ,Histokimia deteksi bakteri jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099642,Histokimia deteksi bakteri jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
248,Histokimia ,Jaringan genitalia pria ,Histokimia deteksi bakteri jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099643,Histokimia deteksi bakteri jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
249,Histokimia ,Jaringan genitalia wanita ,Histokimia deteksi bakteri jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099644,Histokimia deteksi bakteri jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
250,Histokimia ,Jaringan hematopoetic ,Histokimia deteksi bakteri jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099645,Histokimia deteksi bakteri jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
251,Histokimia ,Jaringan retikuloendotelial,Histokimia deteksi bakteri jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099646,Histokimia deteksi bakteri jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
252,Histokimia ,Jaringan lainnya ,Histokimia deteksi bakteri jaringan lainnya,Permintaan & Hasil,Naratif ,PA099647,Histokimia deteksi bakteri jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
253,Histokimia ,Jaringan sistem saraf pusat,Histokimia deteksi jamur jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099648,Histokimia deteksi jamur jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
254,Histokimia ,Jaringan mata dan adneksa ,Histokimia deteksi jamur jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099649,Histokimia deteksi jamur jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
255,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia deteksi jamur jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099650,"Histokimia deteksi jamur jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
256,Histokimia ,Jaringan respiratori ,Histokimia deteksi jamur jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099651,Histokimia deteksi jamur jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
257,Histokimia ,Jaringan kardiovaskular ,Histokimia deteksi jamur jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099652,Histokimia deteksi jamur jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
258,Histokimia ,Jaringan gastrointestinal ,Histokimia deteksi jamur jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099653,Histokimia deteksi jamur jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
259,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia deteksi jamur jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099654,Histokimia deteksi jamur jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
260,Histokimia ,Jaringan muskuloskeletal ,Histokimia deteksi jamur jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099655,Histokimia deteksi jamur jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
261,Histokimia ,Jaringan kulit ,Histokimia deteksi jamur jaringan kulit ,Permintaan & Hasil,Naratif ,PA099656,Histokimia deteksi jamur jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
262,Histokimia ,Jaringan payudara ,Histokimia deteksi jamur jaringan payudara ,Permintaan & Hasil,Naratif ,PA099657,Histokimia deteksi jamur jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
263,Histokimia ,Jaringan endokrin ,Histokimia deteksi jamur jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099658,Histokimia deteksi jamur jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
264,Histokimia ,Jaringan nefrourinaria ,Histokimia deteksi jamur jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099659,Histokimia deteksi jamur jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
265,Histokimia ,Jaringan genitalia pria ,Histokimia deteksi jamur jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099660,Histokimia deteksi jamur jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
266,Histokimia ,Jaringan genitalia wanita ,Histokimia deteksi jamur jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099661,Histokimia deteksi jamur jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
267,Histokimia ,Jaringan hematopoetic ,Histokimia deteksi jamur jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099662,Histokimia deteksi jamur jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
268,Histokimia ,Jaringan retikuloendotelial,Histokimia deteksi jamur jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099663,Histokimia deteksi jamur jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
269,Histokimia ,Jaringan lainnya ,Histokimia deteksi jamur jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099664,Histokimia deteksi jamur jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
270,Histokimia ,Jaringan sistem saraf pusat,Histokimia deteksi substansi jaringan ikat jaringan sistem saraf pusat ,Permintaan & Hasil,Naratif ,PA099665,Histokimia deteksi substansi jaringan ikat jaringan sistem saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
271,Histokimia ,Jaringan mata dan adneksa ,Histokimia deteksi substansi jaringan ikat jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099666,Histokimia deteksi substansi jaringan ikat jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
272,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia deteksi substansi jaringan ikat jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099667,"Histokimia deteksi substansi jaringan ikat jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
273,Histokimia ,Jaringan respiratori ,Histokimia deteksi substansi jaringan ikat jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099668,Histokimia deteksi substansi jaringan ikat jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
274,Histokimia ,Jaringan kardiovaskular ,Histokimia deteksi substansi jaringan ikat jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099669,Histokimia deteksi substansi jaringan ikat jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
275,Histokimia ,Jaringan gastrointestinal ,Histokimia deteksi substansi jaringan ikat jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099670,Histokimia deteksi substansi jaringan ikat jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
276,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia deteksi substansi jaringan ikat jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099671,Histokimia deteksi substansi jaringan ikat jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
277,Histokimia ,Jaringan muskuloskeletal ,Histokimia deteksi substansi jaringan ikat jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099672,Histokimia deteksi substansi jaringan ikat jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
278,Histokimia ,Jaringan kulit ,Histokimia deteksi substansi jaringan ikat jaringan kulit ,Permintaan & Hasil,Naratif ,PA099673,Histokimia deteksi substansi jaringan ikat jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
279,Histokimia ,Jaringan payudara ,Histokimia deteksi substansi jaringan ikat jaringan payudara ,Permintaan & Hasil,Naratif ,PA099674,Histokimia deteksi substansi jaringan ikat jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
280,Histokimia ,Jaringan endokrin ,Histokimia deteksi substansi jaringan ikat jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099675,Histokimia deteksi substansi jaringan ikat jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
281,Histokimia ,Jaringan nefrourinaria ,Histokimia deteksi substansi jaringan ikat jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099676,Histokimia deteksi substansi jaringan ikat jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
282,Histokimia ,Jaringan genitalia pria ,Histokimia deteksi substansi jaringan ikat jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099677,Histokimia deteksi substansi jaringan ikat jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
283,Histokimia ,Jaringan genitalia wanita ,Histokimia deteksi substansi jaringan ikat jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099678,Histokimia deteksi substansi jaringan ikat jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
284,Histokimia ,Jaringan hematopoetic ,Histokimia deteksi substansi jaringan ikat jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099679,Histokimia deteksi substansi jaringan ikat jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
285,Histokimia ,Jaringan retikuloendotelial,Histokimia deteksi substansi jaringan ikat jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099680,Histokimia deteksi substansi jaringan ikat jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
286,Histokimia ,Jaringan lainnya,Histokimia deteksi substansi jaringan ikat jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099681,Histokimia deteksi substansi jaringan ikat jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
